Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
11045,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Am Bahnhof 16,ehem. Höhere Privatschule (Grundschule),"ehem. Höhere Privatschule; 1911/12; zweigeschossiger Backsteinbau mit pfannengedecktem Walmdach auf hohem Sockelgeschoss, nach Westen jüngerer, formal angepasster Anbau, rekonstruierter Dachreiter","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11045.jpg
6451,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",An der Beeckerbrücke,Beecker-Brücke,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/6451.jpg
11043,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",An der Kirche 2,Pastorat,"Pastorat; 1894; zweigeschossiger, ziegelsichtiger Massivbau mit schiefergedecktem Walmdach, nach Süden übergiebelter Mittelrisalit, Fassadengliederung durch Putzbänder und Gesimse","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11043.jpg
505,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",An der Kirche,Kirche St. Maria Magdalena mit Ausstattung,"ev. Kirche St. Maria Magdalena, erste Erwähnung 1315, längsrechteckiger, flach gedeckter Backsteinsaalbau wohl des 14. Jahrhunderts über romanischen Granitfundamenten, Ausbau mit neuem Dach 1513, Fenster und Ostgiebel neugotisch 1878, Westverlängerung im Zusammenhang mit dem Bau des quadratischen Westgiebelturmes 1635/36","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/505.jpg
11046,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Birkenweg 6,Revierjägerwohnhaus,"Revierjägerwohnhaus; 1911 für den Jagdverein vom Zimmermeister Heinrich Köhncke errichtet; eingeschossiger Mansarddachbau auf hakenförmigem Grundriss, Ziegelfassade mit reduzierter Putzgliederung, eingeschossiger, abgesetzter Stallbau mit Satteldach; Gartenpavillon","Geschichtlich, Kulturlandschaftlich","Revierjägerwohnhaus, Gartenpavillon",
6306,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Bleeck 2,Grenzstein,Alteintragung (Aktualisierung vorgesehen),Geschichtlich,gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/6306.jpg
503,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Bleeck 16,Marstallgebäude,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/503.jpg
504,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Bleeck 17 - 19,Rathaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Äußeres,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/504.jpg
502,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Bleeck,Roland,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/502.jpg
7308,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Hamburger Straße 38,Halbmeilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
11054,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Maienbeeck 25,Fachhallenkate,"Fachhallenkate; wohl 1759; eingeschossiger giebelständiger Bau mit steilem Satteldach und straßenseitigem Utbau, Giebel leicht vorkragend und verschalt","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11054.jpg
11061,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Maienbeeck 31,Wohn- und Geschäftshaus,"Wohn- und Geschäftshaus; um 1880; zweigeschossiger, traufständiger Putzbau mit asymmetrischem, straßenseitig steil ansteigendem Walmdach, im Erdgeschoss Laden mit fünfachsigem Fenster","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11061.jpg
10451,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Schlüskamp 32,ehem. Bahnhofshotel,"ehem. Bahnhofshotel; 1905, 1928, Bauherr Heinrich Fülscher; Gebäudekomplex aus zweigeschossigem geputztem Massivbau mit Eckturm nach Norden, Remise/Ausspann und Altem Saal (ehem. Kino) unter verschiedenförmigen Dächern","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/10451.jpg
45323,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Schäferberg,Ehrenmal für die Gefallenen des Ersten Weltkrieges,"Ehrenmal für die Gefallenen des Ersten Weltkriegs; 1924, Bildhauer Heinrich Mißfeldt; Backsteinmauer mit zentralem Rundbogen und Skulptur.","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
51696,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Schäferberg,Ehrenmal für die Gefallenen des Zweiten Weltkrieges,"Ehrenmal für die Gefallenen des Zweiten Weltkriegs; 1957, Gartenarchitekt Gustav Lüttge; sieben Stelen mit verbindenden Mauerstreifen, Zugangstreppe","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
29861,Gründenkmal,Kreis Segeberg,"Bad Bramstedt, Stadt",Altonaer Straße,Lindenallee,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
11040,Gründenkmal,Kreis Segeberg,"Bad Bramstedt, Stadt",An der Kirche,Kirchhof,"Kirchhof; Nutzung vom 14. Jahrhundert bis 1854; mit Grabmalen bis 1870, Lindenkranz und Granitböschungsmauer","Geschichtlich, Kulturlandschaftlich","Kirchhof, Grabmale bis 1870, Lindenkranz, Granitböschungsmauer",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11040.jpg
44711,Gründenkmal,Kreis Segeberg,"Bad Bramstedt, Stadt",Bleeck,Doppeleiche,"Doppeleiche; 1898, schleswig-holsteinische Doppeleiche","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,
27009,Gründenkmal,Kreis Segeberg,"Bad Bramstedt, Stadt",Wiesensteig,Lindenallee,"Lindenallee; um 1900; westlich des Stadtzentrums verlaufender Fußweg Richtung Norden, nach Brücke über die Bramau weiter Richtung Nordwesten bis zum sog. Herrenholz","Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
42459,Sachgesamtheit,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 25,Haus Segeberg,"Haus Segeberg; um 1750-1826; am Rand der Unterstadt gelegenes Ensemble aus Haus Segeberg, 1774, Remise, 1826, und Landratspark, um 1750-60","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Haus Segeberg, Landratspark mit Einfriedung, Remise",
51518,Sachgesamtheit,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 58,Rantzau-Kapelle,"Rantzau-Kapelle; 1770; an der Hamburger Straße stadtauswärts gelegenes Ensemble aus Rantzau-Kapelle von 1770, Kapellenhügel von 1770, Rantzau-Stein Nr. 5, bez. 1595, und Rantzau-Stein Nr. VI","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Rantzau-Kapelle, Kapellenhügel mit Rantzau-Stein Nr. 5, Rantzau-Stein Nr. VI",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/51518.jpg
40079,Sachgesamtheit,Kreis Segeberg,"Bad Segeberg, Stadt","Kirchplatz 1, 7, Kirchplatz, Kirchstraße 23",Kirche St. Marien,"Kirche St. Marien; nach 1156 bis 20. Jh.; westlich außerhalb des historischen Stadtkerns gelegenes Ensemble aus der ev. Kirche St. Marien, dem Pastorat Kirchplatz 7, dem ehem. Kantorhaus Kirchstraße 23, der Propstei Segeberg Kirchplatz 1, dem Kirchhof, der Kirchhofsallee, dem Lindenkranz um die Friedhofserweiterung, den Grabmalen bis 1870, und der Einfriedung Kirchplatz 7, 7a","Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Kirche St. Marien mit Ausstattung, Kirchhof mit Grabmalen bis 1870, Kirchhofsallee, Lindenkranz um Kirchhofserweiterung (Kirchplatz); Propstei Segeberg (Kirchplatz 1), Pastorat mit Einfriedung (Kirchplatz 7, 7-7a), ehem. Kantorhaus (Kirchstraße 23)",
19674,Sachgesamtheit,Kreis Segeberg,"Bad Segeberg, Stadt","Kurhausstraße 36, 38",Wollspinnerei Blunck,"Sachgesamtheit: Wollspinnerei Blunck; ab 1852; Ensemble bestehend aus zwei Vorderhäusern und zwei rückwärtigen Fabrikationsgebäuden, dem historischen Maschinenpark sowie dem Kesselhaus","Geschichtlich, Städtebaulich, Technisch, Wissenschaftlich","Wohn- und Geschäftshäuser (Kurhausstraße 36, 38); Maschinenpark der Wollspinnerei, Wollspinnerei 'Mittelhaus', Wollspinnerei 'Hinterhaus', Kesselhaus (Kurhausstraße 38)",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/19674.jpg
42827,Sachgesamtheit,Kreis Segeberg,"Bad Segeberg, Stadt",Schillerstraße 17,Heinrich-Rantzau-Schule,"Heinrich-Rantzau-Schule; 1952-1960, Architekt Dipl.-Ing. Wilhelm Otto; in landschaftlich gestaltete Grünanlage eingebetteter, mehrgliedriger Schulbau aus Klassentrakten, Verwaltungsflügel, Turnhalle und Hausmeisterwohnung, ein- und zweigeschossige Rotsteinbauten mit gemäßigten Satteldächern, gliedernde Betonrasterelemente","Geschichtlich, Künstlerisch, Städtebaulich","Heinrich-Rantzau-Schule, Turn- und Gymnastikhalle, Hausmeisterwohnung, Außenanlagen",
42491,Mehrheit von baulichen Anlagen,Kreis Segeberg,"Bad Segeberg, Stadt","Lübecker Straße 37, 39",Wohnhäuser mit Gewerbe Lübecker Straße 37-39,Wohnhäuser mit Gewerbe Lübecker Straße 37-39; Anfang 19. Jh.-1928; im Verlauf der Lübecker Straße gelegenes Ensemble aus dem Wohnhaus mit Gewerbe Lübecker Straße 37 und dem Wohnhaus mit Gewerbe Lübecker Straße 39,"Geschichtlich, Städtebaulich","Wohnhäuser mit Gewerbe Lübecker Straße 37, 39",
42490,Mehrheit von baulichen Anlagen,Kreis Segeberg,"Bad Segeberg, Stadt","Lübecker Straße 62, 64, 64a, 66, 68, 70, 72",Wohnhäuser Lübecker Straße 62-72,"Wohnhäuser Lübecker Straße 62-72; 18. Jh.; im Verlauf der Lübecker Straße gelegenes Ensemble aus den Wohnhäusern Lübecker Straße 62, 64 (Wohn- und Wirtschaftsgebäude), 64a (Scheune), 66, 68, 70 und 72","Geschichtlich, Städtebaulich","Wohnhäuser (Lübecker Straße 62, 66, 68, 70, 72), Wohn- und Wirtschaftsgebäude (Lübecker Straße 64), ehem. Scheune (Lübecker Straße 64a)",
2719,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Am Kalkberg 8 a,Wasserturm,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
536,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Am Kalkberg 18,ehem. Katasteramt,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/536.jpg
6910,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Am Markt 4,Dahlmann-Schule,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
32234,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Bismarckallee 5,Villa Flath,"Villa Flath; 1894, Architekt Georg Rießen; zweigeschossiger Putzbau, gegliederter Baukörper mit Satteldächern, zweigeschossiger Bauteil mit Drempel, zeittypische Putzgliederung; 1919 Umbau durch Adolf Blunck zum Kinderheim","Geschichtlich, Städtebaulich",gesamtes Objekt,
42370,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Bismarckallee 23,Villa,Villa; Ende 19. Jh.; ein- bis zweigeschossiger Putzbau mit Satteldächern und reicher Bauzier; mit Einfriedung und Vorgarten,"Geschichtlich, Städtebaulich","Villa, Einfriedung, Vorgarten",
7306,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Bramstedter Landstraße,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
12879,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Eutiner Straße 10 a,Tribüne,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12879.jpg
23218,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Eutiner Straße 10 a,Schiedsrichterkanzel,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
12880,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Eutiner Straße 27,Wohnhaus,"Wohnhaus; Anfang 20. Jh.; eingeschossiger, verputzter Massivbau mit hohen Satteldächern im Reformstil; Einfriedung","Geschichtlich, Städtebaulich","Wohnhaus, Einfriedung",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12880.jpg
12882,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Gartenstraße 9,Wohnhaus,"Wohnhaus; 1926/27; zweigeschossiger Ziegelbau mit hohem Walmdach und Anbauten, Mittelachse durch Zwerchhaus mit geschweiftem Giebel betont","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12882.jpg
12883,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Gartenstraße 19,Wohnhaus,"Wohnhaus; 1928/29, Hain (Neumünster); zweigeschossiger, traufständiger Backsteinbau mit Walmdach, Eckrisaliten und eingeschossigem, vorgelagertem Baukörper in der Mittelachse","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12883.jpg
6758,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Große Seestraße 18,Villa,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
539,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 25,Haus Segeberg,"Haus Segeberg, ehem. Amtshaus; 1774; eingeschossiger Backsteinbau mit Mansard-Halbwalmdach und übergiebeltem Mittelrisalit","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/539.jpg
21998,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 25,Remise,"Remise; 1826; eingeschossiger giebelständiger Fachwerkbau mit Ziegelausfachung und Halbwalmdach, hofseitig zwei Korbbogentore.","Geschichtlich, Städtebaulich",gesamtes Objekt,
6912,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 29,ehem. Amtsgericht,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Objekt,
1893,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 30,Kreishaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/1893.jpg
538,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 58,Rantzau-Kapelle,"Rantzau-Kapelle; 1770; kleiner würfelförmiger Backsteinbau auf viereckigem Hügel, Zeltdach mit Laterne, Granitquadersockel","Geschichtlich, Künstlerisch, Wissenschaftlich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/538.jpg
540,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße,Rantzau-Obelisk,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Wissenschaftlich",Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/540.jpg
5150,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße,Brücke über die Trave (B 432),Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Technisch",Alteintragung (Aktualisierung vorgesehen),
7307,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
34186,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße,Obeliskenhügel,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Wissenschaftlich",Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/34186.jpg
12886,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Hindenburgstraße 2,Wohnhaus,"Wohnhaus; 1897/98; eingeschossiger, massiver Eckbau mit Kreuzdach und Erkertürmchen, reiche Bauzier im Stil des Historismus","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12886.jpg
12888,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kirchplatz 1,Propstei Segeberg,"Propstei Segeberg; um 1885-86; zweigeschossiger Backsteinbau mit steilem Kreuzgiebeldach, Rundbogenöffnungen, reiche Backsteingliederung","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12888.jpg
6407,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kirchplatz 7,Pastorat,"Pastorat; nach 1867; zweigeschossiger, teils verputzter Backsteinbau mit Rundbogenfenstern und flachem Walmdach","Geschichtlich, Künstlerisch, Städtebaulich","Pastorat, Einfriedung",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/6407.jpg
542,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kirchplatz,Kirche St. Marien mit Ausstattung,"ev. Kirche St. Marien, ehem. Klosterkirche der Augustiner-Chorherren; bald nach 1156 beg., 1199 in Nutzung bezeugt, Anfang 13. Jh. vollendet","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/542.jpg
22721,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kirchstraße 18,Wohn- und Geschäftshaus,"Wohn- und Geschäftshaus; Anfang 19. Jh.; zweigeschossiges Fachwerkhaus, verputzte Backsteinfassade, Walmdach, mittiger Eingang von Pilastern gerahmt; massives Nebengebäude","Geschichtlich, Städtebaulich","Wohn- und Geschäftshaus, Nebengebäude",
8933,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kirchstraße 23,ehem. Kantorhaus,"ehem. Kantorhaus, westlicher Flügel des Pastorats Kirchplatz 7; nach 1867; zweigeschossiger, teils verputzter Backsteinbau mit Rundbogenfenstern und flachem Walmdach","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
6757,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kleine Seestraße 6,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Objekt,
543,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kurhausstraße 1,Volksbank,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/543.jpg
5115,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kurhausstraße 21,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Objekt,
22725,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kurhausstraße 34,Wohnhaus,"Wohnhaus; 1908; eineinhalbgeschossiger Massivbau mit Satteldächern, asymmetrische Straßenfront im Giebel mit Fachwerk, Gestaltung mit spätklassizistischen und Jugendstil-Elementen","Geschichtlich, Städtebaulich",gesamtes Objekt,
13364,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Kurhausstraße 38,Wohn- und Geschäftshaus,"Wohn- und Geschäftshaus; um 1800; zweigeschossiger, traufständiger Mauerwerksbau mit ausgebautem Walmdach und repräsentativer Straßenfassade, Bestandteil der Wollspinnerei Blunck","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/13364.jpg
12891,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lindenstraße 1 a-b,Wohnhaus,"Wohnhaus; 1912; eingeschossiger traufständiger Putzbau mit Schopfwalmdach und Unterkellerung, einseitig ausgebautes Dach mit  Straßengiebel, Jugendstildekor; Einfriedung","Geschichtlich, Städtebaulich","Wohnhaus, Einfriedung",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12891.jpg
9784,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 7,Rantzau-Keller,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
22735,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 7,Wohnhaus,"Wohnhaus; 1881, dreigeschossiger massiver Eckbau, ziegelsichtig, im Stil des Historismus, platzseitig durch zweigeschossigen Eckerker mit Turmhaube betont","Geschichtlich, Städtebaulich",gesamtes Objekt,
