FID,wkb_geometry,id,name_titel,adresse_or,georeferen,link_zu_da,erlaeutern,x,y
archivalie_des_monats.5,POINT (295193 5629691),13,Meteorologisches Observatorium,Wingertsberg,295193 5629691,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie08.html,"Wenn der ehemalige Kaiser Wilhelm II. in seinem niederländischen Exil im Haus Doorn hinaussah und die Wetterlage betrachtete, dachte er an Aachen. Zumindest galt dies in den Jahren ab 1931, denn ab diesem Jahr meldete er die Wetterlage beim Haus Doorn täglich an das Meteorologische Observatorium in Aachen.",295193,5629691
archivalie_des_monats.14,POINT (294586 5628599),15,Beethovens Neunte Symphonie,Theaterplatz 1,294586 5628599,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie18.html,"Das Niederrheinische Musikfest fand vom 22. bis zum 23. Mai 1825 zum ersten Mal in Aachen statt. Für die achte Veranstaltung dieser Reihe hatte man mit Ferdinand Ries einen bekannten Dirigenten gewinnen können. Ries war ein Schüler Beethovens gewesen. Er wurde gebeten, Beethoven um Übersendung der Noten zu seiner Neunten Sinfonie zu bitten, die zu diesem Zeitpunkt erst zweimal in Wien aufgeführt worden war. Die Aufführung der Neunten Sinfonie fand im Rahmen der Eröffnungsfeierlichkeiten des Stadttheaters statt. Insgesamt waren 422 Sänger und Musiker an der Aufführung beteiligt.",294586,5628599
archivalie_des_monats.24,POINT (294403 5628968),25,Ausrufung der Rheinischen Republik im Rathaus,Markt,294403 5628968,http://www.aachen.de/de/archiv/archiv_stadt_buerger/archiv_politik_verwaltung/archiv_pressemitteilungen/Archivale-des-Monats-Oktober-2018.html,"Am Morgen des 21. Oktober hatten Separatisten das Rathaus, das Regierungsgebäude und viele weitere öffentliche Gebäude besetzt, auf ihnen ihre grün-weiß-rot Flagge gehisst, mittels in der gesamten Stadt angebrachter Plakate die „Rheinische Republik“ proklamiert und am Folgetag durch den Aachener Separatistenführer Leo Deckers im Kaisersaal des Rathauses ausgerufen. Insgesamt elf Tage treiben sie ihr Unwesen: Ähnliche Aufstände folgten in den nächsten Tagen und Wochen in mehreren linksrheinischen Städten. Sie waren Teil des Plans, das gesamte linksrheinische Gebiet vom Deutschen Reich abzulösen und einen Bundesstaat „Republik Rheinland“ zu gründen, der aus drei Teilen bestehen sollte: einem Nordstaat Unterrhein mit dem Regierungssitz in Aachen, einem Südstaat Oberrhein mit einer Regierung in Koblenz und einem Ruhrstaat mit Regierungssitz in Essen. Sie wurden vor allem aus Frankreich gesteuert, das mit ihrer Hilfe zu erreichen hoffte, was ihm im Versailler Friedensvertrag nicht gelungen war: Die Ablösung der Rheinlande vom Deutschen Reich und die Eingliederung ins französische Staatsgebiet. Die Zentralregierung der Republik Rheinland sollte im englisch besetzten Köln angesiedelt werden. Die Aachener jedoch leisten entschlossen Widerstand: Organisiert durch Vertreter der Verwaltung, Parteien und Gewerkschaften, die an die Stelle der ausgewiesenen Verwaltungsspitzen getreten sind, gehen sie trotz der drohenden Gefahren auf die Straße und wehren sich mit allen ihnen zur Verfügung stehenden Mitteln. Als sie dabei von Separatisten mit Schusswaffen attackiert werden, stürmen und verwüsten sie die Büros und die Wohnungen der Separatisten. Sie vertreiben die Separatisten aus den besetzten Gebäuden. Nach nur zwei Tagen sind bis auf das Regierungsgebäude alle Häuser von Separatisten geräumt und die provisorische Verwaltung kann ihren Dienst im Rathaus wieder aufnehmen. Am gleichen Tag finden Kapitulationsverhandlungen mit dem Separatistenführer statt, die jedoch scheitern, da die belgischen Besatzungsbehörden den Separatisten mit der Verhängung des Belagerungszustands zur Hilfe kommen. Am Abend und in den nächsten Tagen erhalten die Separatisten über 2000 Mann Verstärkung aus verschiedenen Orten. Mit ihnen gelingt es, das Rathaus zurückzuerobern. Währenddessen kommt der belgische Vertreter der Interalliierten Rheinlandkommission, Baron Edouard Rolin-Jaequemyns, in Aachen an. Er greift sofort ein und sorgt dafür, daß sämtliche Separatisten entwaffnet und aus den öffentlichen Gebäuden entfernt werden. Am Nachmittag des 2. November können Stadtverwaltung und Regierung wieder in ihre Gebäude einziehen. In einem Telegramm dankt der preußische Ministerpräsident den Aachenern für ihre Treue.",294403,5628968
archivalie_des_monats.21,POINT (294167 5628852),28,Der wehrhafte Schmied,Jakobstraße,294167 5628852,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie28.html,"Vor 740 Jahren töteten Aachener Bürger den Grafen von Jülich, Wilhelm IV. Um diese Tat, die im Aachener Sagenschatz eine prominente Stellung einnimmt, ranken sich zahlreiche Mythen. Jülich befand sich zu dieser Zeit mit Aachen in Fehde, allerdings gab es einen Waffenstillstand. Fakt ist, dass der knapp 70-jährige Graf Wilhelm IV. mit seinen Söhnen und Begleitern am 16. März 1278 – wahrscheinlich vor dem Weißfrauenkloster in der Jakobstraße – erschlagen wurde. Die weit verbreitete Annahme, Wilhelm IV. habe mit einem Trupp versucht, die Stadt abends im Handstreich einzunehmen, widerspricht der politischen und militärischen Erfahrung des Grafen, der mit solche einem Vorgehen ein hohes Risiko eingegangen wäre. Auch abends hätte sich der Graf mit seinem Gefolge nicht unbemerkt den Stadtmauern nähern können. Dass er ein solch unkalkulierbares Risiko gemeinsam mit seinem Erben auf sich genommen hätte, ist noch weniger anzunehmen. Zudem hätte eine Eingliederung Aachens in das Jülische Territorium angesichts der Rolle Aachens als Krönungsstadt wohl auch königliche Sanktionen für die Grafschaft Jülich nach sich gezogen. Wahrscheinlicher ist, dass Wilhelm IV. nachmittags in die Stadt kam, wahrscheinlich, um für König Rudolf Truppen und Gelder für den Krieg gegen Ottokar II. von Böhmen zu sammeln – und das, obwohl Aachen zu der Zeit gewisse Steuerfreiheiten genoss. Angesichts der Fehde und der Aufforderung zur Zahlung der Steuern gab es hitzige Diskussionen. Als Wilhelm dann noch in seiner Funktion als Vogt versuchte, bestimmte gesuchte Personen, die er entdeckt hatte, in Gewahrsam zu nehmen, eskalierte die Stimmung. In einer Straßenschlacht töteten Aachener Bürger den Grafen und sein Gefolge; eine wichtige Rolle dabei spielten wohl die im Umgang mit Messern und Beilen erfahrenen Aachener Metzger – und eben nicht ein einzelner Aachener Schmied.",294167,5628852
archivalie_des_monats.30,POINT (294433 5628978),19,"Gaststätte ""Postwagen""",Krämerstraße 2,294433 5628978,http://www.aachen.de/de/archiv/archiv_stadt_buerger/archiv_politik_verwaltung/archiv_pressemitteilungen/Archivale-des-Monats-Juli-2019.html,"Der „Postwagen“ am Aachener Rathaus ist eines der touristischen Wahrzeichen Aachens und ein fester Bestandteil des Lebens in unserer Stadt. Es ist als altes Holzhaus aus dem 17. Jahrhundert das einzige aus dieser Zeit in weiten Teilen erhalten gebliebene Gebäude dieser Bauweise in Aachen. Am Fuße des Granusturmes wurde 1657 ein dreigeschossiges Haus aus Ziegeln und Blaustein fertiggestellt. Daneben wurde an der Rathausmauer ein zweigeschossiges Holzhaus errichtet, das 1659 vollendet wurde. Beide Häuser wurden durch die Jahrhunderte als Wohn- oder Geschäftshäuser genutzt. 1875 fielen beide Häuser an die Stadt, welche sie 1902 umbauen und zusammenlegen ließ, so dass ein zusammenhängendes Gebäude als Restaurationsbetrieb vermietet werden konnte, das als „Postwagen“ bekannt wurde. Hier wurde bürgerliche Küche mit Bier- und Weinausschank verbunden. Die gemütliche Atmosphäre war Anziehungspunkt für Akademiker, Studenten und Besucher aus aller Welt. Besonders unter der Studentenschaft war der „Postwagen“ mit seinem Bierausschank sehr beliebt. Im akademischen Nachtleben war der Postwagen eine feste Adresse. So wie sich heute die Studierenden in der Pontstraße einfinden, so trafen sie sich früher im Postwagen bis in die frühen Morgenstunden. Dies führte sogar soweit, dass sich ein Professor der Hochschule 1912 persönlich dafür einsetzte, die Konzession für den Postwagen von 2 Uhr auf 4 Uhr morgens zu verlängern, damit die Studentenschaft vom nächtlichen Besuch „nicht zu empfehlender Cafés“ abgehalten wird. Bis zum Zweiten Weltkrieg blieb der Postwagen beliebter Treffpunkt der Studierenden. Nach dem Krieg und der erfolgten Instandsetzung suchten immer mehr Touristen das gemütliche Ambiente im Postwagen auf, das sich somit nach und nach zu einem beliebten Ausflugsziel und Anlaufpunkt für die Besucher unserer Stadt entwickelte, während die Studierenden zunehmend andere Lokale für das Nachtleben entdeckten.",294433,5628978
archivalie_des_monats.27,POINT (295182 5627736),22,Gesindeball 1909 im Burtscheider Kurhaus,Dammstraße,295182 5627736,http://www.aachen.de/de/archiv/archiv_stadt_buerger/archiv_politik_verwaltung/archiv_pressemitteilungen/Das-Archivale-des-Monats-Februar-2019_.html,"1909 feierte man in Aachen bereits ausgiebig Karneval, wenn auch teils anders als heute. Während die Arbeiterschaft und die schlechter bezahlten Angestellten während der Karnevalstage vom 18. bis 22. Februar 1909 eher durch die Innenstadtstraßen und von Kneipe zu Kneipe zogen, vergnügte sich die betuchtere Gesellschaft gerne vor allem auf Bällen mit Kostümfesten. Anfang des 20. Jahrhunderts war es Mode, die jeweiligen Veranstaltungen oder Veranstaltungsreihen unter ein Motto zu stellen, zu dem sowohl Kostüme wie auch Raumdekorationen passen sollten. Die Eigenheit, die Veranstaltung unter ein eigenes Motto zu stellen, war auch bei geschlossenen Veranstaltungen zu finden, bei denen nur geladene Gäste Zutritt hatten. Eine solche Veranstaltung war der „Gesindeball“, der 1909 auf Einladung von Polizeipräsident Karl von Hammacher und seiner Frau im Burtscheider Kurhaus stattfand.Die dem begüterten Aachener Bürgertum angehörenden Gäste fanden offensichtlich ein großes Vergnügen daran, sich als ihr eigenes Dienstpersonal zu verkleiden. Es erschien eine größere Anzahl von Köchen, Küchenhilfen, Wäscherinnen, Dienstmädchen, Butlern, Kutschern, Dienstboten und so weiter, alle jedoch auf das Edelste gekleidet.",295182,5627736
archivalie_des_monats.22,POINT (296702 5630606),27,Comicverbrennung,Feldstraße 3,296702 5630606,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie29.html,"Das Martinsfeuer, das am 11. November 1958 an der Katholischen Volksschule Feldstraße, die zur Pfarre St. Martin gehörte, entzündet wurde, erfüllte nicht nur seinen traditionellen Zweck als Endpunkt des Martinszuges. Vor 60 Jahren diente es auch dazu, den Schülern eine Möglichkeit zu geben, Comics und andere sogenannte Schund- und Schmutzliteratur ins Feuer zu werfen und zu verbrennen. Zur damaligen Zeit gab es in vielen deutschen Städten „Schmökergrab“-Aktionen. Dabei erhielten die Schüler das Angebot, ihre in pädagogischen, aber auch kirchlichen Kreisen sehr kritisch betrachteten Comic-Hefte und andere, vermeintlich nur der niederen Unterhaltung dienende Literatur gegen als pädagogisch wertvoll angesehene Bücher umzutauschen. Viele dieser Umtauschaktionen mündeten in wohl damals als reinigend empfundenen Comic-Verbrennungen. Und auch wenn Comics in den 1950er-Jahren oft pauschal als so jugendgefährdend angesehen wurden, dass viele von ihnen auch auf dem Index landeten, verwundert dennoch die Form, mit der auch in Aachen gegen die unerwünschte Literatur vorgegangen wurde: Nur 25 Jahre nach den großen Bücherverbrennungen der Nationalsozialisten wurden wieder Bücher und Zeitschriften verbrannt und auf diese Weise geächtet. Die Aachener Nachrichten kündigten die Bücherverbrennung in einem Vorbericht zum Martinszug im zeitgenössischen Duktus an: „Die 250 Schulkinder werden heute Abend im Anschluß an den Martinszug Schmutz- und Schundliteratur in das lodernde Feuer werden. […] Wohl erstmalig in Aachen dürfte die Aktion sein, zu der ebenfalls das Lehrerkollegium der Volksschule Feldstraße aufgerufen hat. Heute Abend sollen im Martinsfeuer auf einem Feld in der Nähe der Schule alle jugendgefährdenden Schriften verbrannt werden, die die Schulkinder zum Leidwesen der Pädagogen immer noch in ihren mehr oder weniger heimlichen Verstecken zu Hause haben und die trotz aller Mahnungen von Eltern und Lehrern gelesen werden. Nach den Worten des Schulleiters wird der Aufruf zu dieser Aktion bestimmt nicht ungehört bleiben, haben sich doch die meisten Schülerinnen und Schüler schon bereit erklärt, ihre vor allen Dingen geistlose Schundliteratur, die auch heute nur allzu oft noch unter den Schulbänken hervorgeholt wird, dem Martinsfeuer anzuvertrauen.“ (AN, 11.11.1958). Bis heute haben es Comicautoren und ihre Werke in Deutschland schwer, als eigene Kulturform Anerkennung zu finden, ganz anders als zum Beispiel in Belgien oder Frankreich.",296702,5630606
archivalie_des_monats.15,POINT (294583 5628432),10,Elektrizitätswerk Borngasse,Borngasse,294583 5628432,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie20.html,"Am 22. Januar 1889 hatte der Rat der Stadt den Bau eines städtischen Elektrizitätswerkes beschlossen. Die Stadt Aachen schloss am 16. Juli 1892 mit dem Elektrokonzern Schuckert & Co. aus Nürnberg einen Bau- und Pachtvertrag über das erste städtische Elektrizitätswerk an der Borngasse ab. Der zentrale Standort an der Borngasse war gewählt worden, um die Verteilung des Stroms in der Stadt zu erleichtern. Schon ab dem 1. Januar 1893 konnte das Elektrizitätswerk in Betrieb genommen werden. Es verfügte bei seiner Inbetriebnahme über zwei Dampfdynamos mit je 450 PS und eine Batterie für 1.610 Amperestunden; die Gesamtleistung betrug 540 Kilowatt. Nach einem Umbau wird das denkmalgeschützte Gebäude seit August 2011 vom städtischen Sinfonieorchester als Proberaum genutzt.",294583,5628432
archivalie_des_monats.32,POINT (297550 5628790),32,Bombenangriff auf die Aachener Reifenfabrik Englebert,Hüttenstrasse,297550 5628790,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie47.html,"Der erste Luftangriff auf Aachen fand schon kurz nach Beginn der Kampfhandlungen gegen Frankreich am 12. Mai 1940 statt, ein Mensch starb. Bei 64 kleineren und fünf großen Angriffen in der Zeit vom 12. Mai 1940 bis zum 12. September 1944 starben insgesamt 2.364 Personen, über 2.000 wurden verletzt. Der erste große Luftangriff traf Aachen am 9./10. Juli 1941. Vor allem Produktionsstätten wurden in dieser Nacht von 30 Bombern angegriffen, 60 Menschen starben. Eines der Ziele, die an diesem Tag getroffen wurden, war die Aachener Reifenfabrik Englebert. Die Fabrik, die zum belgischen Englebert-Konzern mit Sitz in Lüttich gehörte, war seit 1930 in der Hüttenstraße angesiedelt, auf dem ehemaligen Hüttengelände Rothe Erde. Englebert produzierte unter anderem Fahrrad- und Autoreifen und war ein wichtiger Lieferant für die deutsche Kriegswirtschaft. Im Jahr 1939 umfasste die Belegschaft 970 Mitarbeiter, während des Krieges arbeiteten hier phasenweise zwischen 300 und 400 - vor allem sowjetische, polnische und italienische - Zwangsarbeiter gleichzeitig, die auf dem Gelände in Baracken wohnten. Geleitet wurde das Werk zu dieser Zeit durch den Technischen Direktor Theo R. Schmauser.Auch während der Schlacht um Aachen blieb er in der Stadt, seine Frau Elisabeth und die drei Kinder hatte er nach Ouren evakuiert. Aus dieser Zeit existieren umfangreiche Briefwechsel zwischen Theo Schmauser, seiner Frau und seinem Bruder Herbert, der in Schwabach lebte. Die Briefe geben einen intensiven Einblick in den Aachener Kriegsalltag aus der Sicht eines Aachener Managers; sie erzählen von beruflichen und privaten Alltagsproblemen, Ängsten, dem Chaos des Krieges sowie emotionalen und materiellen Nöten.
Große Teile dieser Briefserie sind in Band 3 der Reihe „Aus den Quellen des Stadtarchivs Aachen“ erschienen. Eine historische Einleitung sowie Gedichte Theo Schmausers und Abbildungen von Farb-Dias ergänzen die Quellenedition. Sowohl die Briefe als auch die Farb-Dias befinden sich als Nachlässe von Theo Schmauser im Stadtarchiv Aachen und sind bislang unveröffentlicht und der Öffentlichkeit unbekannt.",297550,5628790
archivalie_des_monats.33,POINT (294868 5628438),33,Außenterrasse Café Vollmer Theaterstrasse 25 am 06. Juni 1951,Theaterstrasse 25,294868 5628438 ,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie50.html,"Aktuell gibt es in der Stadt Überlegungen, den Theaterplatz umzugestalten und dadurch die Aufenthaltsqualität durch die mögliche Installierung von Außengastronomie zu verbessern. Diese Ideen haben historische Vorbilder. Bereits früher, vor den beiden Weltkriegen, luden Kaffeehaus-Terrassen am Theaterplatz zum stilvollen Verweilen bei einem Aperitif, einem Kännchen Kaffee oder einem Aachener Bier ein. Es war dies nicht zuletzt eine Qualität, die Aachen als Badestadt auszeichnete und die vor den Zeiten dichten Verkehrs und gesellschaftlicher Automobilisierung sichtbar war. Vor Nuellens Hotel oder bei Kneesch am Elisenbrunnen gab es bekannte Kaffeehaus-Terrassen. Auf der Theaterstraße bot der Kaiserhof ein solches Angebot, das gut gekleidete Kurbesucher rege nutzten. Etwas weltstädtisches Flair strahlten diese Terrassen und ihre Besucher aus, egal ob sie nun aus Aachen kamen oder die Stadt als Geschäftsleute, Bade-, Kurgäste oder Touristen besuchten.Der Zweite Weltkrieg und seine Zerstörungen hatte diese Aachener Tradition zunächst aus dem Stadtbild getilgt. Erst mit dem stetigen Fortschreiten des Wiederaufbaus kehrten auch die Kaffeehaus-Terrassen ins Stadtbild zurück. Im Mai 1949 richtete das Café Vollmer in der Theaterstraße 25 wieder eine Terrasse ein, ganz in Grün und Weiß gehalten – und in der Hoffnung auf Sonnenstrahlen. Der Wunsch nach der Rückkehr einer friedlichen Normalität, einem Stück des vertrauten und bekannten Aachener Alltags, war förmlich greifbar.",294868,5628438
archivalie_des_monats.34,POINT (294592 5628081),34,Rosenmontagszug 1909,Lagerhausstrasse/Boxgraben,294592 5628081,http://www.aachen.de/de/archiv/archiv_stadt_buerger/archiv_politik_verwaltung/archiv_pressemitteilungen/Archival_Februar20.html,"Schon vor über 100 Jahren war der Rosenmontagszug der Höhepunkt der Karnevalstage: Es gab prunkvoll geschmückte Wagen, die durch die von den Aachenerinnen und Aachenern gesäumten Straßen fuhren. Der Rosenmontagszug stellte sich im Februar 1909 auf dem Gelände der Marienthaler Kaserne auf und zog in Richtung Hauptbahnhof, über den Boxgraben vorbei am Marschiertor und auch an der Bischöflichen Residenz. Das Motto des Karvevalszuges im Jahr 1909 lautete: „Hoflieferanten des Prinzen Karneval“. Die Tageszeitung „Echo der Gegenwart“ berichtet über den Rosenmontagszug am Veilchendienstag: „Der Karnevalszug durchzog gestern Nachmittag in schönster Ordnung und in vorteilhaftester Entfaltung die Straßen unserer Stadt.“. Ein pferdebespannter Wagen stellte ein von Piraten gesteuertes Segelschiff in rauer See dar, von dem aus, wie heute auch, mithilfe von Säckchen an langen Stangen Geld für die Unterstützung von caritativen Projekten gesammelt wird. Die Ansammlung so vieler Menschen bietet hierfür eine gute Gelegenheit. Auf einem der Segel prangt die Beschriftung: „Wir kapern für die Armen!“ Auch sorgten die schon damals eingesetzten Zugbegleiter für die nötige Sicherheit am Straßenrand. Und 1909 schien am Rosenmontag, damals am 22. Februar, leider, wie so oft in Aachen, nicht die Sonne!",294592,5628081
archivalie_des_monats.35,POINT (294621 5627972),35,Kaiserliches Postamt an der Zollamtsstrasse,Zollamtsstrasse,294621 5627972,http://www.aachen.de/de/archiv/archiv_stadt_buerger/archiv_politik_verwaltung/archiv_pressemitteilungen/Archival_maerz20.html,"An der Ecke Zollamtstraße/Burtscheider Straße schaffen heute Bagger Platz für das Blue Gate, ein Gebäudekomplex mit Einzelhandelsflächen, Gastronomie, einem Hotel sowie Studierendenwohnungen am Aachener Hauptbahnhof. Dort, wo lange Jahre ein bewirtschafteter Parkplatz diese Seite der Zollamtstraße dominierte, prägten Anfang des 19. Jahrhunderts zahlreiche Gebäude die Szenerie, die die Funktionalitäten des damals dort betriebenen Rheinischen Bahnhofs unterstützten. Der Rheinische Bahnhof wurde von 1897 bis 1905 als der Hauptbahnhof, der auch heute noch in Betrieb ist, neu errichtet. Neben dem Zollamt, das der zu ihm hinführenden Straße seinen Namen gab, gab es an der Ecke zur Burtscheider Straße ein Postamt, das zum einen den individuellen Postverkehr bediente, aber auch für die Paketpostabfertigung des Hauptbahnhofs zuständig und damit ein wichtiger Knotenpunkt der Aachener Kommunikation Ende des 19. / Anfang des 20. Jahrhunderts war. Ein Schild neben dem Treppenaufgang des Postamtes wies darauf hin, dass im Amtsgebäude nicht nur Brief- und Paketpost angenommen wurden, sondern dort auch der „Fernsprech-Automat“ genutzt werden konnten. Darüber hinaus verfügte das Postamt über einen Telegraphenbetrieb.",294621,5627972
archivalie_des_monats.1,POINT (292393 5624586),12,Lennet Kann,Entenpfuhl,292393 5624586,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie02.html,"Das Stadtarchiv erinnert an das Aachener Stadtoriginal Lennet Kann,  der gerne ausgiebige Spaziergänge zur Waldschänke am Entenpfuhl unternahm. Im Aachener Wald brach er am 5. Januar 1916 auch bei einem Spaziergang zusammen. Er wurde zwar noch ins Elisabethkrankenhaus gebracht, wo man ihm allerdings nicht mehr helfen konnte.",292393,5624586
archivalie_des_monats.12,POINT (295232 5627949),8,Anschluss Aachens an das Eisenbahnnetz,Burtscheider Viadukt,295232 5627949,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie15.html,"Die Rheinische Eisenbahngesellschaft wurde in den 1830er Jahren gegründet, um das Königreich Belgien auf der Wunschstrecke Antwerpen - Köln mit dem Rhein zu verbinden. David Hansemann sah die Nachteile für die heimische Wirtschaft und gründet die Preußisch-Rheinische Eisenbahngesellschaft, um eine Streckenführung durch Aachen zu erreichen. Nach langem und erbittertem Streit sprach der preußische König Friedrich Wilhelm III. am 12. Februar 1837 per Allerhöchster Kabinetts-Order ein Machtwort woraufhin die Strecke nach Belgien durch Aachen führte.",295232,5627949
