Variable1,Variable2,Korrelation
Anteil_Besuche_mit_Cookies,Besuchsh__ufigkeit,-0.2413887223560345
Anteil_Besucher_mit_Cookies,Besuchsh__ufigkeit,-0.29511245738334024
Besuchsh__ufigkeit,Besuchsh__ufigkeit,1
Seitenaufrufe,Besuchsh__ufigkeit,0.25054994969885286
Seiten_pro_Besuch,Besuchsh__ufigkeit,0.32065081688792346
Bounce_Rate,Besuchsh__ufigkeit,-0.5354554935267931
Conversions__Last_Ad_,Besuchsh__ufigkeit,NA
Conversion_Wert__Last_Ad_,Besuchsh__ufigkeit,NA
Conversion_Rate__Last_Ad_,Besuchsh__ufigkeit,NA
zeit_im_besuch_sec,Besuchsh__ufigkeit,0.10908409864178172
bounce_zeit_sec,Besuchsh__ufigkeit,-0.03863998147916977
Besuche,Seitenaufrufe,0.8276622192632258
Besucher,Seitenaufrufe,0.835932028294757
Anteil_Besuche_mit_Cookies,Seitenaufrufe,-0.5256673001800253
Anteil_Besucher_mit_Cookies,Seitenaufrufe,-0.5239836462692786
Besuchsh__ufigkeit,Seitenaufrufe,0.25054994969885286
Seitenaufrufe,Seitenaufrufe,1
Seiten_pro_Besuch,Seitenaufrufe,0.8842749855651165
Bounce_Rate,Seitenaufrufe,-0.8558965582557708
Conversions__Last_Ad_,Seitenaufrufe,NA
Conversion_Wert__Last_Ad_,Seitenaufrufe,NA
Conversion_Rate__Last_Ad_,Seitenaufrufe,NA
zeit_im_besuch_sec,Seitenaufrufe,0.5677749163653272
bounce_zeit_sec,Seitenaufrufe,-0.08385210631022079
Besuche,Seiten_pro_Besuch,0.5057063402041783
Besucher,Seiten_pro_Besuch,0.5196493833195751
Anteil_Besuche_mit_Cookies,Seiten_pro_Besuch,-0.6370753817012952
Anteil_Besucher_mit_Cookies,Seiten_pro_Besuch,-0.6460964328637795
Besuchsh__ufigkeit,Seiten_pro_Besuch,0.32065081688792346
Seitenaufrufe,Seiten_pro_Besuch,0.8842749855651165
Seiten_pro_Besuch,Seiten_pro_Besuch,1
Bounce_Rate,Seiten_pro_Besuch,-0.9547236333657224
Conversions__Last_Ad_,Seiten_pro_Besuch,NA
Conversion_Wert__Last_Ad_,Seiten_pro_Besuch,NA
Conversion_Rate__Last_Ad_,Seiten_pro_Besuch,NA
zeit_im_besuch_sec,Seiten_pro_Besuch,0.24633041151837162
bounce_zeit_sec,Seiten_pro_Besuch,-0.35607290355552507
Besuche,Bounce_Rate,-0.5515639014007915
Besucher,Bounce_Rate,-0.5648891023454159
Anteil_Besuche_mit_Cookies,Bounce_Rate,0.7126078604699678
Anteil_Besucher_mit_Cookies,Bounce_Rate,0.7202655023007639
Besuchsh__ufigkeit,Bounce_Rate,-0.5354554935267931
Seitenaufrufe,Bounce_Rate,-0.8558965582557708
Seiten_pro_Besuch,Bounce_Rate,-0.9547236333657224
Bounce_Rate,Bounce_Rate,1
Conversions__Last_Ad_,Bounce_Rate,NA
Conversion_Wert__Last_Ad_,Bounce_Rate,NA
Conversion_Rate__Last_Ad_,Bounce_Rate,NA
zeit_im_besuch_sec,Bounce_Rate,-0.321241304228494
bounce_zeit_sec,Bounce_Rate,0.27094979153012805
Besuche,Conversions__Last_Ad_,NA
Besucher,Conversions__Last_Ad_,NA
Anteil_Besuche_mit_Cookies,Conversions__Last_Ad_,NA
Anteil_Besucher_mit_Cookies,Conversions__Last_Ad_,NA
Besuchsh__ufigkeit,Conversions__Last_Ad_,NA
Seitenaufrufe,Conversions__Last_Ad_,NA
Seiten_pro_Besuch,Conversions__Last_Ad_,NA
Bounce_Rate,Conversions__Last_Ad_,NA
Conversions__Last_Ad_,Conversions__Last_Ad_,NA
Conversion_Wert__Last_Ad_,Conversions__Last_Ad_,NA
Conversion_Rate__Last_Ad_,Conversions__Last_Ad_,NA
zeit_im_besuch_sec,Conversions__Last_Ad_,NA
bounce_zeit_sec,Conversions__Last_Ad_,NA
Besuche,Conversion_Wert__Last_Ad_,NA
Besucher,Conversion_Wert__Last_Ad_,NA
Anteil_Besuche_mit_Cookies,Conversion_Wert__Last_Ad_,NA
Anteil_Besucher_mit_Cookies,Conversion_Wert__Last_Ad_,NA
Besuchsh__ufigkeit,Conversion_Wert__Last_Ad_,NA
Seitenaufrufe,Conversion_Wert__Last_Ad_,NA
Seiten_pro_Besuch,Conversion_Wert__Last_Ad_,NA
Bounce_Rate,Conversion_Wert__Last_Ad_,NA
Conversions__Last_Ad_,Conversion_Wert__Last_Ad_,NA
Conversion_Wert__Last_Ad_,Conversion_Wert__Last_Ad_,NA
Conversion_Rate__Last_Ad_,Conversion_Wert__Last_Ad_,NA
zeit_im_besuch_sec,Conversion_Wert__Last_Ad_,NA
bounce_zeit_sec,Conversion_Wert__Last_Ad_,NA
Besuche,Conversion_Rate__Last_Ad_,NA
Besucher,Conversion_Rate__Last_Ad_,NA
Anteil_Besuche_mit_Cookies,Conversion_Rate__Last_Ad_,NA
Anteil_Besucher_mit_Cookies,Conversion_Rate__Last_Ad_,NA
Besuchsh__ufigkeit,Conversion_Rate__Last_Ad_,NA
Seitenaufrufe,Conversion_Rate__Last_Ad_,NA
Seiten_pro_Besuch,Conversion_Rate__Last_Ad_,NA
Bounce_Rate,Conversion_Rate__Last_Ad_,NA
Conversions__Last_Ad_,Conversion_Rate__Last_Ad_,NA
Conversion_Wert__Last_Ad_,Conversion_Rate__Last_Ad_,NA
Conversion_Rate__Last_Ad_,Conversion_Rate__Last_Ad_,NA
zeit_im_besuch_sec,Conversion_Rate__Last_Ad_,NA
bounce_zeit_sec,Conversion_Rate__Last_Ad_,NA
Besuche,zeit_im_besuch_sec,0.8813507057707362
Besucher,zeit_im_besuch_sec,0.8741654133264518
Anteil_Besuche_mit_Cookies,zeit_im_besuch_sec,-0.22832181696586556
Anteil_Besucher_mit_Cookies,zeit_im_besuch_sec,-0.20167258972519048
Besuchsh__ufigkeit,zeit_im_besuch_sec,0.10908409864178172
Seitenaufrufe,zeit_im_besuch_sec,0.5677749163653272
Seiten_pro_Besuch,zeit_im_besuch_sec,0.24633041151837162
Bounce_Rate,zeit_im_besuch_sec,-0.321241304228494
Conversions__Last_Ad_,zeit_im_besuch_sec,NA
Conversion_Wert__Last_Ad_,zeit_im_besuch_sec,NA
Conversion_Rate__Last_Ad_,zeit_im_besuch_sec,NA
zeit_im_besuch_sec,zeit_im_besuch_sec,1
bounce_zeit_sec,zeit_im_besuch_sec,0.7183368707664297
Besuche,bounce_zeit_sec,0.40367114118957886
Besucher,bounce_zeit_sec,0.3866279602813971
Anteil_Besuche_mit_Cookies,bounce_zeit_sec,0.057895893371647016
Anteil_Besucher_mit_Cookies,bounce_zeit_sec,0.08734991318676498
Besuchsh__ufigkeit,bounce_zeit_sec,-0.03863998147916977
Seitenaufrufe,bounce_zeit_sec,-0.08385210631022079
Seiten_pro_Besuch,bounce_zeit_sec,-0.35607290355552507
Bounce_Rate,bounce_zeit_sec,0.27094979153012805
Conversions__Last_Ad_,bounce_zeit_sec,NA
Conversion_Wert__Last_Ad_,bounce_zeit_sec,NA
Conversion_Rate__Last_Ad_,bounce_zeit_sec,NA
zeit_im_besuch_sec,bounce_zeit_sec,0.7183368707664297
bounce_zeit_sec,bounce_zeit_sec,1
